seed,model,scenario,cost_naive_050,cost_optimal,pct_reduction
42,baseline,low_incentive,43590,17190.0,60.564349621472815
42,baseline,medium_incentive,45780,29700.0,35.12450851900393
42,baseline,high_incentive,50160,43680.0,12.91866028708134
42,balanced,low_incentive,24600,17010.0,30.853658536585368
42,balanced,medium_incentive,31200,29520.0,5.384615384615385
42,balanced,high_incentive,44400,43680.0,1.6216216216216217
0,baseline,low_incentive,43350,17370.0,59.930795847750865
0,baseline,medium_incentive,45600,27180.0,40.39473684210526
0,baseline,high_incentive,50100,41100.0,17.964071856287426
0,balanced,low_incentive,23910,17070.0,28.607277289836887
0,balanced,medium_incentive,30120,27240.0,9.56175298804781
0,balanced,high_incentive,42540,41400.0,2.6798307475317347
1,baseline,low_incentive,41910,16890.0,59.699355762347885
1,baseline,medium_incentive,44520,28380.0,36.253369272237194
1,baseline,high_incentive,49740,43860.0,11.821471652593486
1,balanced,low_incentive,25920,16890.0,34.83796296296296
1,balanced,medium_incentive,32640,28260.0,13.419117647058824
1,balanced,high_incentive,46080,44160.0,4.166666666666667
2,baseline,low_incentive,45600,18720.0,58.94736842105263
2,baseline,medium_incentive,48300,31440.0,34.90683229813665
2,baseline,high_incentive,53700,47220.0,12.067039106145252
2,balanced,low_incentive,27030,18180.0,32.74139844617092
2,balanced,medium_incentive,33960,31740.0,6.5371024734982335
2,balanced,high_incentive,47820,47100.0,1.5056461731493098
3,baseline,low_incentive,44460,17220.0,61.26855600539811
3,baseline,medium_incentive,47220,27540.0,41.67725540025413
3,baseline,high_incentive,52740,43860.0,16.83731513083049
3,balanced,low_incentive,27330,16950.0,37.980241492864984
3,balanced,medium_incentive,33060,27540.0,16.696914700544465
3,balanced,high_incentive,44520,43980.0,1.2129380053908356
4,baseline,low_incentive,40500,17640.0,56.44444444444444
4,baseline,medium_incentive,43500,28560.0,34.3448275862069
4,baseline,high_incentive,49500,44100.0,10.909090909090908
4,balanced,low_incentive,22110,17130.0,22.523744911804613
4,balanced,medium_incentive,29520,27960.0,5.284552845528455
4,balanced,high_incentive,44340,43080.0,2.841677943166441
5,baseline,low_incentive,46230,15330.0,66.83971447112265
5,baseline,medium_incentive,48660,25260.0,48.08877928483354
5,baseline,high_incentive,53520,42600.0,20.40358744394619
5,balanced,low_incentive,24120,15030.0,37.6865671641791
5,balanced,medium_incentive,30540,24960.0,18.271119842829076
5,balanced,high_incentive,43380,42180.0,2.7662517289073305
6,baseline,low_incentive,42150,16560.0,60.711743772241995
6,baseline,medium_incentive,44700,27120.0,39.328859060402685
6,baseline,high_incentive,49800,44280.0,11.08433734939759
6,balanced,low_incentive,23220,16560.0,28.68217054263566
6,balanced,medium_incentive,30540,27120.0,11.198428290766207
6,balanced,high_incentive,45180,44400.0,1.7264276228419655
7,baseline,low_incentive,42450,17670.0,58.37455830388693
7,baseline,medium_incentive,44700,27780.0,37.852348993288594
7,baseline,high_incentive,49200,40260.0,18.170731707317074
7,balanced,low_incentive,22740,17400.0,23.482849604221634
7,balanced,medium_incentive,28980,27780.0,4.140786749482402
7,balanced,high_incentive,41460,41100.0,0.8683068017366136
8,baseline,low_incentive,41400,15120.0,63.47826086956522
8,baseline,medium_incentive,44100,25740.0,41.63265306122449
8,baseline,high_incentive,49500,40380.0,18.424242424242426
8,balanced,low_incentive,21690,14880.0,31.3969571230982
8,balanced,medium_incentive,28380,25260.0,10.993657505285412
8,balanced,high_incentive,41760,40620.0,2.7298850574712645
9,baseline,low_incentive,45540,18390.0,59.617918313570485
9,baseline,medium_incentive,47880,29100.0,39.22305764411028
9,baseline,high_incentive,52560,42960.0,18.264840182648403
9,balanced,low_incentive,23190,18180.0,21.604139715394567
9,balanced,medium_incentive,30180,29040.0,3.7773359840954273
9,balanced,high_incentive,44160,43080.0,2.4456521739130435
100,baseline,low_incentive,42750,16620.0,61.12280701754386
100,baseline,medium_incentive,46200,28860.0,37.532467532467535
100,baseline,high_incentive,53100,46140.0,13.107344632768362
100,balanced,low_incentive,25080,16410.0,34.569377990430624
100,balanced,medium_incentive,32460,28380.0,12.569316081330868
100,balanced,high_incentive,47220,45360.0,3.9390088945362134
123,baseline,low_incentive,39900,16740.0,58.045112781954884
123,baseline,medium_incentive,42600,28800.0,32.394366197183096
123,baseline,high_incentive,48000,43380.0,9.625
123,balanced,low_incentive,24090,16530.0,31.382316313823164
123,balanced,medium_incentive,31080,28740.0,7.528957528957529
123,balanced,high_incentive,45060,43140.0,4.26098535286285
777,baseline,low_incentive,43560,17670.0,59.43526170798898
777,baseline,medium_incentive,46320,29040.0,37.30569948186528
777,baseline,high_incentive,51840,45180.0,12.847222222222221
777,balanced,low_incentive,24000,17850.0,25.625
777,balanced,medium_incentive,31200,29160.0,6.538461538461538
777,balanced,high_incentive,45600,45120.0,1.0526315789473684
2024,baseline,low_incentive,46260,16200.0,64.98054474708171
2024,baseline,medium_incentive,49020,27300.0,44.30844553243574
2024,baseline,high_incentive,54540,44940.0,17.601760176017603
2024,balanced,low_incentive,25530,16470.0,35.487661574618095
2024,balanced,medium_incentive,32160,27120.0,15.671641791044776
2024,balanced,high_incentive,45420,44400.0,2.2457067371202113
