variable,coef_non_standardized,rank_non_standardized,coef_standardized,rank_standardized
InternetService_Fiber optic,1.3426422739298087,1,0.9746793571901897,3
InternetService_No,-1.128534225309897,2,-1.3791982074755298,1
Contract,-0.746566711461051,3,-0.750912668293799,4
StreamingTV,0.44776495589635845,4,0.4265910379071744,7
StreamingMovies,0.3911483093600576,5,0.3707312642440931,8
OnlineSecurity,-0.328387948922521,6,-0.3416974830708809,11
TechSupport,-0.30083200145752315,7,-0.31295878085628853,12
PaperlessBilling,0.29279879187169267,8,0.2878016248850727,14
PaymentMethod_Electronic check,0.29277497296524546,9,0.05797899480656963,21
Dependents,-0.2542223987273998,10,-0.2579929168433429,16
MultipleLines_Yes,0.25190893229724154,11,0.05116268252000478,22
MultipleLines_No phone service,0.19313104877756507,12,-0.34993528074809965,10
MultipleLines_No,-0.16153960547878402,13,-0.35383736178649644,9
SeniorCitizen,0.14747557011968637,14,0.1437973365760949,20
PhoneService,0.09036932706554694,15,-0.30267467926649505,13
InternetService_DSL,0.06939232709994779,16,-0.24809110972924314,17
tenure,-0.051191962449442296,17,-1.1990702032205827,2
PaymentMethod_Credit card (automatic),-0.05088972285198907,18,-0.28680602242009345,15
PaymentMethod_Mailed check,0.049307054147434054,19,-0.1801262395046846,19
MonthlyCharges,-0.01826566380097091,20,-0.4709049964667621,6
Partner,0.012779549345202975,21,0.010001657203321872,23
PaymentMethod_Bank transfer (automatic),-0.007691928145682751,22,-0.2436566928963838,18
TotalCharges,0.00023619911977150815,23,0.4718218896405539,5
